"000010","AD3100",10,+000.50,20020101,20020701
"000070","AD3110",10,+001.00,20020101,20030201
"000230","AD3111",60,+001.00,20020101,20020315
"000230","AD3111",60,+000.50,20020315,20020415
"000230","AD3111",70,+000.50,20020315,20021015
"000230","AD3111",80,+000.50,20020415,20021015
"000230","AD3111",180,+000.50,20021015,20030101
"000240","AD3111",70,+001.00,20020215,20020915
"000240","AD3111",80,+001.00,20020915,20030101
"000250","AD3112",60,+001.00,20020101,20020201
"000250","AD3112",60,+000.50,20020201,20020315
"000250","AD3112",60,+001.00,20030101,20030201
"000250","AD3112",70,+000.50,20020201,20020315
"000250","AD3112",70,+001.00,20020315,20020815
"000250","AD3112",70,+000.25,20020815,20021015
"000250","AD3112",80,+000.25,20020815,20021015
"000250","AD3112",80,+000.50,20021015,20021201
"000250","AD3112",180,+000.50,20020815,20030101
"000260","AD3113",70,+000.50,20020615,20020701
"000260","AD3113",70,+001.00,20020701,20030201
"000260","AD3113",80,+001.00,20020101,20020301
"000260","AD3113",80,+000.50,20020301,20020415
"000260","AD3113",180,+000.50,20020301,20020415
"000260","AD3113",180,+001.00,20020415,20020601
"000260","AD3113",180,+001.00,20020601,20020701
"000270","AD3113",60,+000.50,20020301,20020401
"000270","AD3113",60,+001.00,20020401,20020901
"000270","AD3113",60,+000.25,20020901,20021015
"000270","AD3113",70,+000.75,20020901,20021015
"000270","AD3113",70,+001.00,20021015,20030201
"000270","AD3113",80,+001.00,20020101,20020301
"000270","AD3113",80,+000.50,20020301,20020401
"000030","IF1000",10,+000.50,20020601,20030101
"000130","IF1000",90,+001.00,20021001,20030101
"000130","IF1000",100,+000.50,20021001,20030101
"000140","IF1000",90,+000.50,20021001,20030101
"000030","IF2000",10,+000.50,20020101,20030101
"000140","IF2000",100,+001.00,20020101,20020301
"000140","IF2000",100,+000.50,20020301,20020701
"000140","IF2000",110,+000.50,20020301,20020701
"000140","IF2000",110,+000.50,20021001,20030101
"000010","MA2100",10,+000.50,20020101,20021101
"000110","MA2100",20,+001.00,20020101,20030301
"000010","MA2110",10,+001.00,20020101,20030201
"000200","MA2111",50,+001.00,20020101,20020615
"000200","MA2111",60,+001.00,20020615,20030201
"000220","MA2111",40,+001.00,20020101,20030201
"000150","MA2112",60,+001.00,20020101,20020715
"000150","MA2112",180,+001.00,20020715,20030201
"000170","MA2112",60,+001.00,20020101,20030601
"000170","MA2112",70,+001.00,20020601,20030201
"000190","MA2112",70,+001.00,20020101,20021001
"000190","MA2112",80,+001.00,20021001,20031001
"000160","MA2113",60,+001.00,20020715,20030201
"000170","MA2113",80,+001.00,20020101,20030201
"000180","MA2113",70,+001.00,20020401,20020615
"000210","MA2113",80,+000.50,20021001,20030201
"000210","MA2113",180,+000.50,20021001,20030201
"000050","OP1000",10,+000.25,20020101,20030201
"000090","OP1010",10,+001.00,20020101,20030201
"000280","OP1010",130,+001.00,20020101,20030201
"000290","OP1010",130,+001.00,20020101,20030201
"000300","OP1010",130,+001.00,20020101,20030201
"000310","OP1010",130,+001.00,20020101,20030201
"000050","OP2010",10,+000.75,20020101,20030201
"000100","OP2010",10,+001.00,20020101,20030201
"000320","OP2011",140,+000.75,20020101,20030201
"000320","OP2011",150,+000.25,20020101,20030201
"000330","OP2012",140,+000.25,20020101,20030201
"000330","OP2012",160,+000.75,20020101,20030201
"000340","OP2013",140,+000.50,20020101,20030201
"000340","OP2013",170,+000.50,20020101,20030201
"000020","PL2100",30,+001.00,20020101,20020915
