"AD3100","ADMIN SERVICES","D01","000010",+006.50,20020101,20030201,
"AD3110","GENERAL ADMIN SYSTEMS","D21","000070",+006.00,20020101,20030201,"AD3100"
"AD3111","PAYROLL PROGRAMMING","D21","000230",+002.00,20020101,20030201,"AD3110"
"AD3112","PERSONNEL PROGRAMMING","D21","000250",+001.00,20020101,20030201,"AD3110"
"AD3113","ACCOUNT PROGRAMMING","D21","000270",+002.00,20020101,20030201,"AD3110"
"IF1000","QUERY SERVICES","C01","000030",+002.00,20020101,20030201,
"IF2000","USER EDUCATION","C01","000030",+001.00,20020101,20030201,
"MA2100","WELD LINE AUTOMATION","D01","000010",+012.00,20020101,20030201,
"MA2110","W L PROGRAMMING","D11","000060",+009.00,20020101,20030201,"MA2100"
"MA2111","W L PROGRAM DESIGN","D11","000220",+002.00,20020101,19821201,"MA2110"
"MA2112","W L ROBOT DESIGN","D11","000150",+003.00,20020101,19821201,"MA2110"
"MA2113","W L PROD CONT PROGS","D11","000160",+003.00,20020215,19821201,"MA2110"
"OP1000","OPERATION SUPPORT","E01","000050",+006.00,20020101,20030201,
"OP1010","OPERATION","E11","000090",+005.00,20020101,20030201,"OP1000"
"OP2000","GEN SYSTEMS SERVICES","E01","000050",+005.00,20020101,20030201,
"OP2010","SYSTEMS SUPPORT","E21","000100",+004.00,20020101,20030201,"OP2000"
"OP2011","SCP SYSTEMS SUPPORT","E21","000320",+001.00,20020101,20030201,"OP2010"
"OP2012","APPLICATIONS SUPPORT","E21","000330",+001.00,20020101,20030201,"OP2010"
"OP2013","DB/DC SUPPORT","E21","000340",+001.00,20020101,20030201,"OP2010"
"PL2100","WELD LINE PLANNING","B01","000020",+001.00,20020101,20020915,"MA2100"
